Timestamp,"Question 1: When asked to create a new 6-digit PIN for a non-critical app, which strategy are you most likely to use? ","Question 2: If you (or people you know) use a date of birth for a 6-digit PIN, which format is the most common?  
( e.g., March 5th, 1998 )",Question 3: Do you tend to reuse the same 6-digit PIN across multiple different apps and services?  ,"Question 4: (Risk Perception) If an acquaintance knew your basic personal info (Date of Birth, phone number, graduation year), do you think they could guess your phone's PIN within 10 attempts?  "
4/6/2026 0:53:06,Completely random numbers with no underlying pattern.,"The 4-digit birth year padded with zeros (e.g., -> 199800 or 001998).",Often (I reuse a few favorite PINs).,"Absolutely not, my PIN is completely unrelated to my personal information."
4/6/2026 0:53:09,A significant anniversary or historical date.,"MMDDYY (e.g., -> 980305).",Often (I reuse a few favorite PINs).,"Maybe, it's possible but would require luck."
4/6/2026 0:53:11,A significant anniversary or historical date.,I/They never use dates.,Always (I use one primary PIN for almost everything).,"Yes, it is highly likely they would guess it."
4/6/2026 0:53:13,"Repeated digits for speed (e.g., 111111, 222222).","The 4-digit birth year padded with zeros (e.g., -> 199800 or 001998).",Always (I use one primary PIN for almost everything).,"Maybe, it's possible but would require luck."
4/6/2026 0:53:15,"A date (my own birthday, a partner's, or a family member's).",I/They never use dates.,"Never (Every app gets a unique, randomly generated PIN).","Yes, it is highly likely they would guess it."
4/6/2026 0:53:17,A significant anniversary or historical date.,I/They never use dates.,"Never (Every app gets a unique, randomly generated PIN).","Maybe, it's possible but would require luck."
4/6/2026 0:53:19,"A date (my own birthday, a partner's, or a family member's).","DDMMYY (e.g., -> 050398).",Always (I use one primary PIN for almost everything).,"Absolutely not, my PIN is completely unrelated to my personal information."
4/6/2026 0:53:20,"Repeated digits for speed (e.g., 111111, 222222).","DDMMYY (e.g., -> 050398).","Rarely (I try to make them different, but sometimes reuse).","Yes, it is highly likely they would guess it."
4/6/2026 0:53:23,"Sequential digits on the keypad (e.g., 123456, 654321).","YYMMDD (e.g., -> 980305).","Never (Every app gets a unique, randomly generated PIN).","Yes, it is highly likely they would guess it."
4/6/2026 0:53:24,"A date (my own birthday, a partner's, or a family member's).","The 4-digit birth year padded with zeros (e.g., -> 199800 or 001998).",Always (I use one primary PIN for almost everything).,"Absolutely not, my PIN is completely unrelated to my personal information."
4/6/2026 0:53:26,Completely random numbers with no underlying pattern.,I/They never use dates.,"Never (Every app gets a unique, randomly generated PIN).","Yes, it is highly likely they would guess it."
4/6/2026 0:53:28,"Repeated digits for speed (e.g., 111111, 222222).","YYMMDD (e.g., -> 980305).","Never (Every app gets a unique, randomly generated PIN).","Absolutely not, my PIN is completely unrelated to my personal information."
4/6/2026 0:53:30,"Sequential digits on the keypad (e.g., 123456, 654321).","DDMMYY (e.g., -> 050398).","Never (Every app gets a unique, randomly generated PIN).","Yes, it is highly likely they would guess it."
4/6/2026 0:53:32,A significant anniversary or historical date.,I/They never use dates.,"Never (Every app gets a unique, randomly generated PIN).","Yes, it is highly likely they would guess it."
4/6/2026 0:53:34,"Repeated digits for speed (e.g., 111111, 222222).",I/They never use dates.,Always (I use one primary PIN for almost everything).,"Absolutely not, my PIN is completely unrelated to my personal information."
4/6/2026 0:53:35,"Repeated digits for speed (e.g., 111111, 222222).",I/They never use dates.,Often (I reuse a few favorite PINs).,"Maybe, it's possible but would require luck."
4/6/2026 0:53:37,"Sequential digits on the keypad (e.g., 123456, 654321).","DDMMYY (e.g., -> 050398).",Always (I use one primary PIN for almost everything).,"Absolutely not, my PIN is completely unrelated to my personal information."
4/6/2026 0:53:40,"Repeated digits for speed (e.g., 111111, 222222).","DDMMYY (e.g., -> 050398).","Rarely (I try to make them different, but sometimes reuse).","Maybe, it's possible but would require luck."
4/6/2026 0:53:41,"A date (my own birthday, a partner's, or a family member's).","The 4-digit birth year padded with zeros (e.g., -> 199800 or 001998).",Always (I use one primary PIN for almost everything).,"Yes, it is highly likely they would guess it."
4/6/2026 0:53:43,"Numbers with cultural or personal significance (e.g., lucky numbers, 000000).","DDMMYY (e.g., -> 050398).","Rarely (I try to make them different, but sometimes reuse).","Maybe, it's possible but would require luck."
4/6/2026 0:53:45,"A date (my own birthday, a partner's, or a family member's).","YYMMDD (e.g., -> 980305).",Often (I reuse a few favorite PINs).,"Maybe, it's possible but would require luck."
4/6/2026 0:53:47,"Sequential digits on the keypad (e.g., 123456, 654321).","DDMMYY (e.g., -> 050398).",Often (I reuse a few favorite PINs).,"Yes, it is highly likely they would guess it."
4/6/2026 0:53:49,"Repeated digits for speed (e.g., 111111, 222222).","The 4-digit birth year padded with zeros (e.g., -> 199800 or 001998).","Never (Every app gets a unique, randomly generated PIN).","Yes, it is highly likely they would guess it."
4/6/2026 0:53:51,"A date (my own birthday, a partner's, or a family member's).","MMDDYY (e.g., -> 980305).","Never (Every app gets a unique, randomly generated PIN).","Yes, it is highly likely they would guess it."
4/6/2026 0:53:52,"Sequential digits on the keypad (e.g., 123456, 654321).","DDMMYY (e.g., -> 050398).",Often (I reuse a few favorite PINs).,"Absolutely not, my PIN is completely unrelated to my personal information."
4/6/2026 0:53:55,Completely random numbers with no underlying pattern.,I/They never use dates.,"Never (Every app gets a unique, randomly generated PIN).","Yes, it is highly likely they would guess it."
4/6/2026 0:53:57,A significant anniversary or historical date.,"YYMMDD (e.g., -> 980305).","Never (Every app gets a unique, randomly generated PIN).","Absolutely not, my PIN is completely unrelated to my personal information."
4/6/2026 0:53:59,"Numbers with cultural or personal significance (e.g., lucky numbers, 000000).","MMDDYY (e.g., -> 980305).",Often (I reuse a few favorite PINs).,"Maybe, it's possible but would require luck."
4/6/2026 0:54:00,A significant anniversary or historical date.,"DDMMYY (e.g., -> 050398).",Always (I use one primary PIN for almost everything).,"Yes, it is highly likely they would guess it."
4/6/2026 0:54:03,A significant anniversary or historical date.,"DDMMYY (e.g., -> 050398).",Always (I use one primary PIN for almost everything).,"Absolutely not, my PIN is completely unrelated to my personal information."
4/6/2026 0:54:04,"Numbers with cultural or personal significance (e.g., lucky numbers, 000000).","YYMMDD (e.g., -> 980305).",Often (I reuse a few favorite PINs).,"Absolutely not, my PIN is completely unrelated to my personal information."
4/6/2026 0:54:07,"Numbers with cultural or personal significance (e.g., lucky numbers, 000000).","YYMMDD (e.g., -> 980305).",Always (I use one primary PIN for almost everything).,"Absolutely not, my PIN is completely unrelated to my personal information."
4/6/2026 0:54:09,Completely random numbers with no underlying pattern.,"MMDDYY (e.g., -> 980305).",Often (I reuse a few favorite PINs).,"Yes, it is highly likely they would guess it."
4/6/2026 0:54:11,"Repeated digits for speed (e.g., 111111, 222222).","YYMMDD (e.g., -> 980305).","Rarely (I try to make them different, but sometimes reuse).","Yes, it is highly likely they would guess it."
4/6/2026 0:54:13,A significant anniversary or historical date.,"MMDDYY (e.g., -> 980305).",Often (I reuse a few favorite PINs).,"Absolutely not, my PIN is completely unrelated to my personal information."
4/6/2026 0:54:15,"Numbers with cultural or personal significance (e.g., lucky numbers, 000000).","The 4-digit birth year padded with zeros (e.g., -> 199800 or 001998).",Often (I reuse a few favorite PINs).,"Absolutely not, my PIN is completely unrelated to my personal information."
4/6/2026 0:54:17,"Repeated digits for speed (e.g., 111111, 222222).","The 4-digit birth year padded with zeros (e.g., -> 199800 or 001998).","Rarely (I try to make them different, but sometimes reuse).","Yes, it is highly likely they would guess it."
4/6/2026 0:54:19,"A date (my own birthday, a partner's, or a family member's).","YYMMDD (e.g., -> 980305).","Never (Every app gets a unique, randomly generated PIN).","Absolutely not, my PIN is completely unrelated to my personal information."
4/6/2026 0:54:21,"A date (my own birthday, a partner's, or a family member's).","YYMMDD (e.g., -> 980305).","Never (Every app gets a unique, randomly generated PIN).","Maybe, it's possible but would require luck."
4/6/2026 0:54:23,"A date (my own birthday, a partner's, or a family member's).",I/They never use dates.,Often (I reuse a few favorite PINs).,"Yes, it is highly likely they would guess it."
4/6/2026 0:54:25,"A date (my own birthday, a partner's, or a family member's).","MMDDYY (e.g., -> 980305).",Always (I use one primary PIN for almost everything).,"Yes, it is highly likely they would guess it."
4/6/2026 0:54:27,"Repeated digits for speed (e.g., 111111, 222222).","MMDDYY (e.g., -> 980305).",Often (I reuse a few favorite PINs).,"Yes, it is highly likely they would guess it."
4/6/2026 0:54:29,"A date (my own birthday, a partner's, or a family member's).",I/They never use dates.,Often (I reuse a few favorite PINs).,"Yes, it is highly likely they would guess it."
4/6/2026 0:54:30,"A date (my own birthday, a partner's, or a family member's).","The 4-digit birth year padded with zeros (e.g., -> 199800 or 001998).","Rarely (I try to make them different, but sometimes reuse).","Absolutely not, my PIN is completely unrelated to my personal information."
4/6/2026 0:54:32,"Repeated digits for speed (e.g., 111111, 222222).","DDMMYY (e.g., -> 050398).","Never (Every app gets a unique, randomly generated PIN).","Absolutely not, my PIN is completely unrelated to my personal information."
4/6/2026 0:54:34,A significant anniversary or historical date.,I/They never use dates.,Often (I reuse a few favorite PINs).,"Absolutely not, my PIN is completely unrelated to my personal information."
4/6/2026 0:54:36,"A date (my own birthday, a partner's, or a family member's).",I/They never use dates.,"Rarely (I try to make them different, but sometimes reuse).","Yes, it is highly likely they would guess it."
4/6/2026 0:54:39,"Numbers with cultural or personal significance (e.g., lucky numbers, 000000).","DDMMYY (e.g., -> 050398).","Never (Every app gets a unique, randomly generated PIN).","Maybe, it's possible but would require luck."
4/6/2026 0:54:41,A significant anniversary or historical date.,"The 4-digit birth year padded with zeros (e.g., -> 199800 or 001998).",Always (I use one primary PIN for almost everything).,"Maybe, it's possible but would require luck."
4/6/2026 0:54:43,"Repeated digits for speed (e.g., 111111, 222222).","MMDDYY (e.g., -> 980305).","Never (Every app gets a unique, randomly generated PIN).","Maybe, it's possible but would require luck."
4/6/2026 0:54:45,"Sequential digits on the keypad (e.g., 123456, 654321).","DDMMYY (e.g., -> 050398).","Rarely (I try to make them different, but sometimes reuse).","Maybe, it's possible but would require luck."
4/6/2026 0:54:47,"A date (my own birthday, a partner's, or a family member's).",I/They never use dates.,"Rarely (I try to make them different, but sometimes reuse).","Yes, it is highly likely they would guess it."
4/6/2026 0:54:49,A significant anniversary or historical date.,"MMDDYY (e.g., -> 980305).",Always (I use one primary PIN for almost everything).,"Maybe, it's possible but would require luck."
4/6/2026 0:54:51,"Sequential digits on the keypad (e.g., 123456, 654321).","MMDDYY (e.g., -> 980305).",Always (I use one primary PIN for almost everything).,"Yes, it is highly likely they would guess it."
4/6/2026 0:54:53,"A date (my own birthday, a partner's, or a family member's).","MMDDYY (e.g., -> 980305).","Never (Every app gets a unique, randomly generated PIN).","Absolutely not, my PIN is completely unrelated to my personal information."
4/6/2026 0:54:55,Completely random numbers with no underlying pattern.,"MMDDYY (e.g., -> 980305).",Always (I use one primary PIN for almost everything).,"Maybe, it's possible but would require luck."
4/6/2026 0:54:57,"Repeated digits for speed (e.g., 111111, 222222).","The 4-digit birth year padded with zeros (e.g., -> 199800 or 001998).",Often (I reuse a few favorite PINs).,"Yes, it is highly likely they would guess it."
4/6/2026 0:54:59,"Repeated digits for speed (e.g., 111111, 222222).","YYMMDD (e.g., -> 980305).","Rarely (I try to make them different, but sometimes reuse).","Yes, it is highly likely they would guess it."
4/6/2026 0:55:01,"Sequential digits on the keypad (e.g., 123456, 654321).","MMDDYY (e.g., -> 980305).",Often (I reuse a few favorite PINs).,"Absolutely not, my PIN is completely unrelated to my personal information."
4/6/2026 0:55:03,"Repeated digits for speed (e.g., 111111, 222222).","DDMMYY (e.g., -> 050398).",Always (I use one primary PIN for almost everything).,"Maybe, it's possible but would require luck."
4/6/2026 0:55:04,Completely random numbers with no underlying pattern.,"MMDDYY (e.g., -> 980305).",Often (I reuse a few favorite PINs).,"Yes, it is highly likely they would guess it."
4/6/2026 0:55:06,"A date (my own birthday, a partner's, or a family member's).","MMDDYY (e.g., -> 980305).",Always (I use one primary PIN for almost everything).,"Maybe, it's possible but would require luck."
4/6/2026 0:55:08,Completely random numbers with no underlying pattern.,"MMDDYY (e.g., -> 980305).","Never (Every app gets a unique, randomly generated PIN).","Maybe, it's possible but would require luck."
4/6/2026 0:55:10,"Numbers with cultural or personal significance (e.g., lucky numbers, 000000).","YYMMDD (e.g., -> 980305).","Never (Every app gets a unique, randomly generated PIN).","Absolutely not, my PIN is completely unrelated to my personal information."
4/6/2026 0:55:12,Completely random numbers with no underlying pattern.,"The 4-digit birth year padded with zeros (e.g., -> 199800 or 001998).",Always (I use one primary PIN for almost everything).,"Yes, it is highly likely they would guess it."
4/6/2026 0:55:14,Completely random numbers with no underlying pattern.,"The 4-digit birth year padded with zeros (e.g., -> 199800 or 001998).","Rarely (I try to make them different, but sometimes reuse).","Absolutely not, my PIN is completely unrelated to my personal information."
4/6/2026 0:55:16,"Numbers with cultural or personal significance (e.g., lucky numbers, 000000).","MMDDYY (e.g., -> 980305).","Rarely (I try to make them different, but sometimes reuse).","Absolutely not, my PIN is completely unrelated to my personal information."
4/6/2026 0:55:18,A significant anniversary or historical date.,I/They never use dates.,Often (I reuse a few favorite PINs).,"Yes, it is highly likely they would guess it."
4/6/2026 0:55:20,"A date (my own birthday, a partner's, or a family member's).","MMDDYY (e.g., -> 980305).",Often (I reuse a few favorite PINs).,"Absolutely not, my PIN is completely unrelated to my personal information."
4/6/2026 0:55:22,"A date (my own birthday, a partner's, or a family member's).",I/They never use dates.,Always (I use one primary PIN for almost everything).,"Absolutely not, my PIN is completely unrelated to my personal information."
4/6/2026 0:55:24,"Numbers with cultural or personal significance (e.g., lucky numbers, 000000).","MMDDYY (e.g., -> 980305).",Always (I use one primary PIN for almost everything).,"Yes, it is highly likely they would guess it."
4/6/2026 0:55:26,Completely random numbers with no underlying pattern.,"DDMMYY (e.g., -> 050398).","Rarely (I try to make them different, but sometimes reuse).","Yes, it is highly likely they would guess it."
4/6/2026 0:55:28,"Numbers with cultural or personal significance (e.g., lucky numbers, 000000).","YYMMDD (e.g., -> 980305).","Never (Every app gets a unique, randomly generated PIN).","Yes, it is highly likely they would guess it."
4/6/2026 0:55:30,Completely random numbers with no underlying pattern.,"DDMMYY (e.g., -> 050398).","Rarely (I try to make them different, but sometimes reuse).","Maybe, it's possible but would require luck."
4/6/2026 0:55:32,A significant anniversary or historical date.,I/They never use dates.,Often (I reuse a few favorite PINs).,"Yes, it is highly likely they would guess it."
4/6/2026 0:55:35,"Numbers with cultural or personal significance (e.g., lucky numbers, 000000).","The 4-digit birth year padded with zeros (e.g., -> 199800 or 001998).","Rarely (I try to make them different, but sometimes reuse).","Yes, it is highly likely they would guess it."
4/6/2026 0:55:37,A significant anniversary or historical date.,"MMDDYY (e.g., -> 980305).",Often (I reuse a few favorite PINs).,"Yes, it is highly likely they would guess it."
4/6/2026 0:55:39,"Sequential digits on the keypad (e.g., 123456, 654321).","YYMMDD (e.g., -> 980305).","Rarely (I try to make them different, but sometimes reuse).","Yes, it is highly likely they would guess it."
4/6/2026 0:55:42,"Sequential digits on the keypad (e.g., 123456, 654321).",I/They never use dates.,Often (I reuse a few favorite PINs).,"Absolutely not, my PIN is completely unrelated to my personal information."
